NCESID,NAME,ADDRESS,CITY,STATE,COUNTY
BB162890,MARIPOSA MONTESSORI SCHOOL,4622 S LAMAR BLVD,AUSTIN,TX,TRAVIS
BB162898,KHABELE SCHOOL,9607 BRODIE LN,AUSTIN,TX,TRAVIS
BB162900,HOPE CHILDREN'S CENTER,11512 OLSON DR,AUSTIN,TX,TRAVIS
BB162906,PROGRESS SCHOOL,2200 JUSTIN LN.,AUSTIN,TX,TRAVIS
BB162911,THE CHILDRENS COURTYARD,11012 HARRIS BRANCH PKWY,AUSTIN,TX,TRAVIS
BB162914,AUSTIN CLASSICAL SCHOOL,P.O.9908,AUSTIN,TX,TRAVIS
A1503654,CENTRAL CATHOLIC HIGH SCHOOL -SAN ANTONIO,1403 N SAINT MARYS ST,SAN ANTONIO,TX,BEXAR
A1303353,CENTURY CHRISTIAN ACADEMY,14400 IMMANUEL RD,PFLUGERVILLE,TX,TRAVIS
BB130476,CHILDREN'S COURTYARD,6200 BRYANT IRVIN RD,FORT WORTH,TX,TARRANT
A1503655,CHRIST'S HARBOR CHRISTIAN SCHOOL,1441 SANTA ISABEL BLVD,LAGUNA VISTA,TX,CAMERON
A1503657,CLEVELAND CORRECTIONAL CENTER,901 EAST 5TH STREET,"CLEVELAND,",TX,LIBERTY
A1503658,CLOUD OF LIGHT CHRISTIAN ACADEMY,16305 WESTHEIMER RD # 111,HOUSTON,TX,HARRIS
A1503659,COLLIN COUNTY CORNERSTONE CHRISTIAN ACADEMY,808 S. COLLEGE STREET,MCKINNEY,TX,COLLIN
A1503662,COUNTRY HOME LEARNING CENTER #1 LTD,13315 NW MILITARY HWY,SAN ANTONIO,TX,BEXAR
A1503671,COUNTRY HOME LEARNING CENTER NO. 2,104 GALLERIA FAIR,SAN ANTONIO,TX,BEXAR
A1503677,COVENANT CHRISTIAN ACADEMY,14 CHISM TRAIL,ROUND ROCK,TX,WILLIAMSON
A1171677,CREATIVE CORNER,335 AUDREY LN,HOUSTON,TX,HARRIS
A1303365,CRIMSON CHRISTIAN ACADEMY,7020 S HWY 59,BURKE,TX,ANGELINA
A1503679,CRISTO REY DALLAS COLLEGE PREP,1064 N. ST. AUGUSTINE DR.,DALLAS,TX,DALLAS
BB130482,CROSSROADS CHRISTIAN ACADEMY,3512 ROBERTS CUT OFF RD,FORT WORTH,TX,TARRANT
A1503680,CYPRESS BEND ADVENTIST ELEMENTARY SCHOOL,2997 FM 728,JEFFERSON,TX,MARION
A1102157,CYPRESS CREEK CHILDREN'S MONTESSORI SCHOOL,13405 MAIN ST,FRISCO,TX,COLLIN
BB122123,CYPRESS MONTESSORI SCHOOL,9507 HUFFMEISTER RD,HOUSTON,TX,HARRIS
A1392039,DARUL ARQAM SOUTHWEST SCHOOL,10415 SYNOTT RD,SUGAR LAND,TX,FORT BEND
A1390331,EA YOUNG ACADEMY,8521 DAVIS BLVD,NORTH RICHLAND HILLS,TX,TARRANT
A1503682,ELIM CHRISTIAN SCHOOL,5151 ADDICKS SATSUMA RD,HOUSTON,TX,HARRIS
BB130486,FIRST CHRISTIAN ACADEMY,521 S ILLINOIS AVE,WESLACO,TX,HIDALGO
A1503695,GENESIS CHRISTIAN SCHOOL,9426 TELEPHONE RD,HOUSTON,TX,HARRIS
A1503705,HIJAZ ACADEMY,15001 BEECHNUT ST,HOUSTON,TX,FORT BEND
A1503706,HILLCREST CHRISTIAN ACADEMY,820 E. WINTERGREEN ROAD,CEDAR HILL,TX,DALLAS
A1303397,HOUSTON QURAN ACADEMY,1902 BAKER RD,HOUSTON,TX,HARRIS
A1390340,INNOVATIVE LEARNING ACADEMY,3500 MCRAE BLVD,EL PASO,TX,EL PASO
A1303399,ISLAMIC ACADEMY OF SAN ANTONIO (IASA),8638 FAIRHAVEN ST,SAN ANTONIO,TX,BEXAR
BB160533,WATERFRONT ACADEMY,60 I ST SW,WASHINGTON,DC,DISTRICT OF COLUMBIA
A1390075,KIDS FIRST ACADEMY,18883 WASHINGTON ST.,LINCOLN,DE,SUSSEX
A1370012,SCALIAS DAY CARE CENTER,701 NORTH HARMONY ROAD,NEWARK,DE,NEW CASTLE
A9700880,SMYRNA CHRISTIAN SCHOOL,1630 JOE GOLDSBOROUGH RD,SMYRNA,DE,NEW CASTLE
A1300561,TOWLE INSTITUTE,199 POLLY DRUMMOND HILL ROAD,NEWARK,DE,NEW CASTLE
BB160524,SAN MIGUEL SCHOOL,7705 GEORGIA AVE NW,WASHINGTON,DC,DISTRICT OF COLUMBIA
BB160528,ACADEMY FOR IDEAL EDUCATION,4501 DIX ST NE,WASHINGTON,DC,DISTRICT OF COLUMBIA
BB160530,CORNERSTONE SCHOOLS-WASHINGTON,3742 ELY PL SE,WASHINGTON,DC,DISTRICT OF COLUMBIA
BB140250,HIGH ROAD ACADEMY-PRIMARY AND MIDDLE,1530 1ST ST SW,WASHINGTON,DC,DISTRICT OF COLUMBIA
A9101622,KENDALL DEMONSTRATION ELEMENTARY SCHOOL,800 FLORIDA AVE NE,WASHINGTON,DC,DISTRICT OF COLUMBIA
A1502763,ST ANDREW'S ESPISCOPAL SCHOOL,301 S CIRCLE DR,ROCKY MOUNT,NC,NASH
A1502769,SWEETWATER MONTESSORI SCHOOL,403 HOWELL RD,NEW BERN,NC,CRAVEN
A1502770,THALES ACADEMY,1201 GRANITE FALLS BLVD,ROLESVILLE,NC,WAKE
A1390285,THE TALENTED TENTH BOYS ACADEMY,9200 UNIVERSITY CITY BLVD,CHARLOTTE,NC,MECKLENBURG
A1502774,TIMBERSONG ACADEMY,531 UPPER FLAT CREEK RD,WEAVERVILLE,NC,BUNCOMBE
A1502778,UPWARD ADVENTIST SCHOOL,957 UPWARD RD,FLAT ROCK,NC,HENDERSON
A1302228,VICTORY BAPTIST CHRISTIAN ACADEMY,2073 OREGON HILL RD,RUFFIN,NC,ROCKINGHAM
A1302232,WILLOW TREE COMMUNITY SCHOOL,1050 SAM LATTIMORE RD,SHELBY,NC,CLEVELAND
A1592138,TRINITY ELEMENTARY,2811 7TH ST EAST,WEST FARGO,ND,CASS
A1502780,DAKOTA MEMORIAL SCHOOL- BISMARCK,1227 N 35TH ST,BISMARCK,ND,BURLEIGH
A1502783,LOCCSE ACADEMY,1025 N 2ND ST,BISMARCK,ND,BURLEIGH
A1302237,VICTORY CHRISTIAN SCHOOL,510 9TH AVE SW,JAMESTOWN,ND,STUTSMAN
A1503714,ITOP CHRISTIAN ACADEMY,2010 E LANCASTER AVE,FORT WORTH,TX,TARRANT
BB130492,THE EMERY/WEINER CENTER FOR JEWISH EDUCATION,9825 STELLA LINK RD,HOUSTON,TX,HARRIS
A1503719,KIDS LEARNING CENTER,6520 CUSTER RD,PLANO,TX,COLLIN
A1303409,KIDS R KIDS #33 TX,15111 AVERY RANCH BLVD,AUSTIN,TX,WILLIAMSON
A1303410,KIDS R KIDS LEARNING ACADEMY,21955 WESTHEIMER PKWY,KATY,TX,FORT BEND
A1503737,KNOWLEDGE-FIRST EMPOWERMENT CENTER,2651 CARTWRIGHT RD SUITE C,MISSOURI CITY,TX,FORT BEND
A1399023,LAKEHILL PREPARATORY SCHOOL,2720 HILLSIDE DR,DALLAS,TX,DALLAS
A1503739,LAKESIDE MONTESSORI ACADEMY LLC,4995 WESTPORT DR,THE COLONY,TX,DENTON
BB141033,LEARNING THEIR WAY,1001 MISSION DR,NEW BRAUNFELS,TX,COMAL
A1503745,MARIAN HIGH SCHOOL (NTI CAREER INSTITUTE),9896 BISSONNET ST SUITE 230,HOUSTON,TX,HARRIS
A1303431,MARIPOSA MONTESSORI SCHOOL,7809 BRODIE LN,AUSTIN,TX,TRAVIS
A1303437,MUNDO MONTESSORI,1301 PEACEFUL MEADOWS CT UNITS 4,LAREDO,TX,WEBB
A1390347,NORTH TEXAS LEADERSHIP ACADEMY,PO BOX 2285,KELLER,TX,TARRANT
BB130488,THE NOVUS ACADEMY,204 N DOOLEY ST,GRAPEVINE,TX,TARRANT
A1503759,OUR LADY OF VICTORY CATHOLIC SCHOOL,3320 HEMPHILL ST,FORT WORTH,TX,TARRANT
A1503761,PALM TREE ACADEMY,143 PARAGON LN,EL PASO,TX,EL PASO
A1503762,PEACE LUTHERAN PRESCHOOL,10625 N FM 620,AUSTIN,TX,TRAVIS
A1303450,PEDIATRIC EDUCATION AND CREATIVE ARTS PROGRAM,1515 HOLCOMBE BLVD UNIT 87,HOUSTON,TX,HARRIS
A1592088,RUNNELS SCHOOL,17255 SOUTH HARRELL'S FERRY ROAD,BATON ROUGE,LA,EAST BATON ROUGE
BB120521,CASA DEI BAMBINI MONTESSORI SCHOOL,4025 PINE TREE DR,MIAMI BEACH,FL,MIAMI-DADE
A1303462,PRIMROSE SCHOOL OF WEST PEARLAND,1751 KIRBY DR,PEARLAND,TX,BRAZORIA
BB161169,CATHOLIC HIGH SCHOOL,504 4TH ST W,NEW ROADS,LA,POINTE COUPEE
A1500817,CENTRAL POINTE CHRISTIAN ACADEMY,2031 SIMPSON RD,KISSIMMEE,FL,OSCEOLA
BB161174,MISS LOU CHRISTIAN ACADEMY,7280 HIGHWAY 84,FERRIDAY,LA,CONCORDIA
A1303463,PRIMROSE WEST PLANO,6480 W PLANO PKWY,DALLAS,TX,COLLIN
A1370122,CHABAD LUBAVITCH OF SOUTHSIDE INC,11271 ALUMNI WAY,JACKSONVILLE,FL,DUVAL
BB161222,EVANGEL CHRISTIAN ACADEMY,5720 BUNCOMBE RD,SHREVEPORT,LA,CADDO
A1503767,QALAM COLLEGIATE ACADEMY,101 W BUCKINGHAM RD,RICHARDSON,TX,DALLAS
A1300629,CHANGING LIVES CHRISTIAN ACADEMY,7541 LEM TURNER RD,JACKSONVILLE,FL,DUVAL
A1501741,ANGLES ACADEMY,3954 FLORIDA BLVD,BATON ROUGE,LA,EAST BATON ROUGE
BB130514,R L FINNEY CHRISTIAN ACADEMY,11620 CULLEN BLVD,HOUSTON,TX,HARRIS
A1503771,REGENTS ACADEMY,200 NE STALLINGS DR,NACOGDOCHES,TX,NACOGDOCHES
A1303466,RESOLUTION RANCH ACADEMY,2274 COUNTY ROAD 203 LOOP,CAMERON,TX,MILAM
A1503774,RIVERSIDE MISSION CHRISTIAN ACADEMY,301 RICHLAND BLVD,GRAND SLAINE,TX,VAN ZANDT
A1503776,ST ANTHONY OF PADUA CATHOLIC SCHOOL,7901 BAY BRANCH DR,THE WOODLANDS,TX,MONTGOMERY
A1503779,SAN JUAN DIEGO CATHOLIC REGIONAL HIGH SCHL MISSION,5208 SOUTH FM 494,MISSION,TX,HIDALGO
A1390348,SATORI SCHOOL,2503 SEALY ST,GALVESTON,TX,GALVESTON
A1303471,SEGUIN CHRISTIAN ACADEMY,1456 E KINGSBURY RD,SEGUIN,TX,GUADALUPE
A1303473,SIENNA LUTHERAN ACADEMY,770 WATERS LAKE BLVD,MISSOURI CITY,TX,FORT BEND
A1390351,SILVER SADDLE CHRISTIAN ACADEMY,17843 E FM 1188,BLUFF DALE,TX,ERATH
BB130523,ST IGNATIUS COLLEGE PREP,8109 SHELTON DR,FORT WORTH,TX,TARRANT
A1303488,ST PAUL LUTHERAN SCHOOL HARLINGEN,1920 E. WASHINGTON,HARLINGEN,TX,CAMERON
A1503786,ST AUGUSTINE ELEMENTARY AND MIDDLESCHOOL - LARED,1300 GALVESTON ST,LAREDO,TX,WEBB
A1503788,ST CLEMENT'S PARISH SCHOOL,600 MONTANA AVE,EL PASO,TX,EL PASO
A1503789,ST JOHN BOSCO SCHOOL,5630 W COMMERCE ST,SAN ANTONIO,TX,BEXAR
A1503791,ST MARY MAGDALEN CATHOLIC SCHOOL - SAN ANTONIO,1700 CLOWER,SAN ANTONIO,TX,BEXAR
A1503793,ST MICHAEL CATHOLIC SCHOOL - HOUSTON,1833 SAGE RD,HOUSTON,TX,HARRIS
A1503796,STERLING CLASSICAL SCHOOL,11800 RR 2243 SUITE 700,LEANDER,TX,WILLIAMSON
A1503798,SUGAR MILL MONTESSORI SCHOOL,1120 BURNEY RD,SUGAR LAND,TX,FORT BEND
A1503802,TEC DE MONTERREY PREP SCHOOL,5450 HURD PL,EL PASO,TX,EL PASO
A1171761,THE CHILDRENS COURTYARD,5915 LA CROSSE AVE,AUSTIN,TX,TRAVIS
A1503816,THE GODDARD SCHOOL OF ALLEN,1695 E EXCHANGE PKWY,ALLEN,TX,COLLIN
A1303500,THE GODDARD SCHOOL OF KATY,24025 CINCO VILLAGE CENTER BLVD,KATY,TX,FORT BEND
A1503818,HIGH FRONTIER SCHOOL,1178 HIGH FRONTIER RD.,FORT DAVIS,TX,JEFF DAVIS
A1392041,THE JOULE SCHOOL,3402 LITTLE ELM TRAIL,CEDER PARK,TX,WILLIAMSON
A1503825,THE KIPLING SCHOOL,600 SHEPHERD DR.,HOUSTON,TX,HARRIS
A1503829,SHARP ACADEMY,4415 66TH ST STE 105,LUBBOCK,TX,LUBBOCK
A1503830,THE VINE SCHOOL,2911 D AZALEA,VICTORIA,TX,VICTORIA
A1503831,THE WOODLANDS METHODIST SCHOOL,1915 LAKE FRONT CIRCLE,THE WOODLANDS,TX,MONTGOMERY
A1503833,TORAH ACADEMY OF SAN ANTONIO,3003 SHOLOM DR # 200,SAN ANTONIO,TX,BEXAR
A1503835,TORAH GIRLS ACADEMY OF TEXAS,10101 FONDREN RD STE 136,HOUSTON,TX,HARRIS
BB140257,THE MONROE SCHOOL,601 50TH ST NE,WASHINGTON,DC,DISTRICT OF COLUMBIA
A1592009,AMERICAN WORLDWIDE ACADEMY,13227 NW 7TH AVENUE,NORTH MIAMI,FL,MIAMI-DADE
A1100925,LANAKILA BAPTIST SCHOOLS,94-1250 WAIPAHU ST,WAIPAHU,HI,HONOLULU
BB140358,LOVELAND ACADEMY,48-190 KAMEHAMEHA HIGHWAY,KANEOHE,HI,HONOLULU
A1501501,MAKUA LANI CHRISTIAN ACADEMY,74-4966 KEALA KAA STREET,KAILUA KONA,HI,HAWAII
A1301218,NEW HOPE CHRISTIAN SCHOOL,94-050 SARRINGTON HIGH WAY SUIT# C2,WAIPAHU,HI,HONOLULU
A1501503,PU'UKUMU SCHOOL,4551 KAPUNA RD,KILAUEA,HI,KAUAI
A1390158,REAL ONGOING OPPORTUNITIES TO SOAR,740 HAIKU RD,HAIKU,HI,MAUI
A1501504,ROOTS SCHOOL,740 HAIKU ROAD,HAIKU,HI,MAUI
A1592062,BOISE MONTESSORI- MONTESSORI ACADEMY,1400 PARK LANE,EAGLE,ID,ADA
A1501519,HALL INTERNATIONAL ACAD FOR ARTS AND HUMANITIES,1167 E IRON EAGLE DR,EAGLE,ID,ADA
A1301220,IDAHO FALLS ADVENTIST SCHOOL,802 WESTHILL AVE,IDAHO FALLS,ID,BONNEVILLE
A1370603,KIDS STUFF EARLY LEARNING CENTER,2717 12TH AVE RD,NAMPA,ID,CANYON
BB140369,LAKEWOOD MONTESSORI,133 E LINDON ST,BOISE,ID,ADA
A1370610,LITTLE MIRACLES,439 N STAR RD,STAR,ID,ADA
A1501526,MOUNTAIN CHRISTIAN SCHOOL,510860 HIGHWAY 95,BONNERS FERRY,ID,BOUNDARY
A1370612,NAMPA MONTESSORI PRESCHOOL & KINDERGARTEN,312 N CANYON ST,NAMPA,ID,CANYON
A1301242,SILVER VALLEY CHRISTIAN ACADEMY,16 E RIVERSIDE AVE,KELLOGG,ID,SHOSHONE
BB140362,SMARTY PANTS PRESCHOOL & KINDERGARTEN,429 SWAN FALLS RD,KUNA,ID,ADA
A1501529,TABLE ROCK CHRISTIAN SCHOOL,1510 N HWY 33,DRIGGS,ID,TETON
BB140367,VISTA MONTESSORI SCHOOL,2096 S GOURLEY ST,BOISE,ID,ADA
A1501533,WATERSPRINGS SCHOOL,4250 S 25TH E,IDAHO FALLS,ID,BONNEVILLE
A1592063,BETHEL LUTHERAN SCHOOL,325 EAST QUEENWOOD RD,MORTON,IL,TAZEWELL
A1592080,TRINITY LUTHERAN SCHOOL,1361 1ST AVE SW,CEDAR RAPIDS,IA,LINN
A1502400,ADVENTIST ACADEMY OF SANTA FE,702 BISHOPS LODGE RD,SANTA FE,NM,SANTA FE
A1503836,TORCHLIGHT PREPARATORY ACADEMY,304 S. 7TH ST.,CROCKETT,TX,HOUSTON
A1503838,TROPHY LAKES ACADEMY,800 TROPHY CLUB DR,TROPHY CLUB,TX,DENTON
A1503840,TRUE CROSS SCHOOL - DICKINSON,400 FM 517 RD E,DICKINSON,TX,GALVESTON
A1503841,UIW PREPARTORY HIGH SCHOOL,3200 MCCULLOUGH AVE,SAN ANTONIO,TX,BEXAR
A1503844,VICTORIA ADVENTIST CHRISTIAN ACADEMY,3103 E MOCKINGBIRD LN,VICTORIA,TX,VICTORIA
A1303506,WALLER CHRISTIAN ACADEMY,1208 PENICK RD,WALLER,TX,WALLER
A1171767,WATTERS MONTESSORI ACADEMY,1292 BOSSY BOOTS DR,ALLEN,TX,COLLIN
BB141061,WEDGWOOD ACADEMY,4833 SELKIRK DR,FORT WORTH,TX,TARRANT
A1503849,WESTERN HILLS ACADEMY,524 THUNDERBIRD DR,EL PASO,TX,EL PASO
A1303509,XAVIER EDUCATIONAL ACADEMY,3642 UNIVERSITY BLVD STE 101,HOUSTON,TX,HARRIS
A1371486,MONTESSORI OF SANDY,181 E 8960 S,SANDY,UT,SALT LAKE
A1503883,NEW HOPE ACADEMY,100 N 100 W,AMERICAN FORK,UT,UTAH
A1503888,ROWLAND HALL-ST MARK'S (MIDDLE),970 E 800 S,SALT LAKE CITY,UT,SALT LAKE
A1371488,ST JOHN'S COMMUNITY CHILD DEVELOPMENT CENTER,475 E HERBERT AVE,SALT LAKE CITY,UT,SALT LAKE
A1503895,USSA TEAM ACADEMY,1 VICTORY LN BOX 110,PARK CITY,UT,SUMMIT
A1592105,MERRYHILL SCHOOL,2150 WINDMILL PKWY- STE A,HENDERSON,NV,CLARK
A1592108,MERRYHILL SCHOOL,2160 SNOW TRL,LAS VEGAS,NV,CLARK
A1592109,MERRYHILL SCHOOL,10050 ALTA DR,LAS VEGAS,NV,CLARK
A1301849,A STEP AHEAD,945 N CLOVER LN,FERNLEY,NV,LYON
A1101425,ABUNDANT LIFE CHRISTIAN ACADEMY,1720 NORT J ST,LAS VEGAS,NV,CLARK
A1301851,BEAUTIFUL SAVIOR LUTHERAN SCHOOL,10265 BERMUDA RD,LAS VEGAS,NV,CLARK
A1301853,CHILD FAMILY RESARCH CENTER,1664 N VIRGINIA ST STOP 141 THE MAIL,RENO,NV,WASHOE
A1502277,EAGLE VALLEY CHRISTIAN SCHOOL,405 EAST COLLEGE PKWY,CARSON CITY,NV,CARSON CITY
A1502281,GODDARD SCHOOL - SOMERSETT- THE,455 SOMERSETT PKWY,RENO,NV,WASHOE
A1301859,JOURNEY EDUCATION,2710 S RAINBOW BLVD,LAS VEGAS,NV,CLARK
A1502286,LIGHTHOUSE BAPTIST ACADEMY,5350 PEMBROKE DR,RENO,NV,WASHOE
A1301864,NEW SONG CHRISTIAN ACAD,1291 CORNET ST,HENDERSON,NV,CLARK
A1301865,NEWTON LEARNING CENTER,700 GREENBRAE DR,SPARKS,NV,WASHOE
A1301870,TREASURE CHEST LEARNING CENTER- THE,890 ROBERTA LN,SPARKS,NV,WASHOE
A1301871,TRINITY LUTHERAN CHILD CARE  CTR  & KINDERGARTEN,1174 MILL ST,GARDNERVILLE,NV,DOUGLAS
A1502300,WEST CHARLESTON ENRICHMENT ACADEMY,3216 W CHARLESTON BLVD SUITE B,LAS VEGAS,NV,CLARK
A1592121,CHINOOK SPIRIT CHILDRENS ACADEMY,5621 PARADISE BLVD NW,ALBUQUERQUE,NM,BERNALILLO
A1371363,BILINGUAL MONTESSORI SCHOOL,115 LONGVIEW DR,LOS ALAMOS,NM,LOS ALAMOS
A9903100,CHRISTIAN HERITAGE ACADEMY,2800 LOUISIANA BLVD NE,ALBUQUERQUE,NM,BERNALILLO
A1502409,DISCOVER CHRISTIAN SCHOOL,5509 SAGEBRUSH DR,FARMINGTON,NM,SAN JUAN
A1390252,LIGHTHOUSE CHRISTIAN ACADEMY,165 DONA ANA RD SW,DEMING,NM,LUNA
A1371371,LITTLE BEAR CHILD DEVELOPMENT AND,119 E HERRERA,HATCH,NM,DONA ANA
A1371372,LITTLE CORRAL KINDERGARTE,10111 CONSTITUTION AVE NE,ALBUQUERQUE,NM,BERNALILLO
A1301990,MOUNTAIN VIEW MONTESSORI,3740 EUBANK BLVD NE,ALBUQUERQUE,NM,BERNALILLO
A1101604,NEW SUNRISE REGIONAL TREATMENT CENTER,20B MOCKINGBIRD DRIVE,SAN FIDEL,NM,CIBOLA
A1502422,ST PIUS X HIGH SCHOOL,5301 SAINT JOSEPHS DR NW,ALBUQUERQUE,NM,BERNALILLO
BB161694,BETH RACHEL SCHOOL FOR GIRLS,227 MERCY AVE,BROOKLYN,NY,KINGS
BB161720,KPI,305 REMSEN AVE,BROOKLYN,NY,KINGS
BB161723,ARISTA PREPARATORY ACADEMY,221 KINGSTON AVE,BROOKLYN,NY,KINGS
BB161773,BNOS YAAKOV YI OF FLATBUSH,4512 14TH AVE 6TH FLOOR,BROOKLYN,NY,KINGS
BB161778,TALMUD TORAH OHEL YOCHANAN SCHOOL,1325 38TH ST,BROOKLYN,NY,KINGS
BB161784,YESHIVA NESIVOS CHAIM,215 AVENUE F,BROOKLYN,NY,KINGS
BB161847,YESHIVA TIFERES ELIMELECH,4407 12TH AVE,BROOKLYN,NY,KINGS
BB161850,YESHIVAS NOVOMINSK,1690 50TH ST,BROOKLYN,NY,KINGS
BB161863,BNOT CHAYA ACADEMY,1012 AVE I,BROOKLYN,NY,KINGS
BB161896,YESHIVAT BITATTON,1649 E 13TH ST,BROOKLYN,NY,KINGS
BB161988,MONTESSORI DAY SCHOOL-BROOKLYN,237 PARK PL,BROOKLYN,NY,KINGS
BB162001,ST CATHERINE & GEORGE,22-30 33RD ST,ASTORIA,NY,QUEENS
A1101683,CRISTO REY BROOKLYN HIGH SCHOOL,710 E 37TH ST,BROOKLYN,NY,KINGS
A1503898,WAYPOINT ACADEMY,9091 E 100 S,HUNTSVILLE,UT,WEBER
BB161142,POSTVILLE SHULL,PO BOX 1025,POSTVILLE,IA,ALLAMAKEE
BB161145,CROSSROADS ACADEMY,107 VERNON ST,DECORAH,IA,WINNESHIEK
BB161146,NE IOWA MONTESSORI SCHOOL,418 W WATER ST,DECORAH,IA,WINNESHIEK
BB161148,ST WENCESLAUS SCHOOL,PO BOX 58,SPILLVILLE,IA,WINNESHIEK
BB161149,SCENIC VIEW CHRISTIAN SCHOOL,13358 190TH ST,FAYETTE,IA,FAYETTE
BB161151,ST ANTHONY,2160 SAINT AMBROSE ST,DUBUQUE,IA,DUBUQUE
BB161152,OUR LADY OF GUADALUPE,2160 ROSEDALE AVE,DUBUQUE,IA,DUBUQUE
BB161155,LA SALLE CATHOLIC SCHOOL,100 WEST MAIN,LUXEMBURG,IA,DUBUQUE
A1301414,BISHOP HEELAN CATHOLIC HIGH SCHOOL,1021 DOUGLAS ST,SIOUX CITY,IA,WOODBURY
A1301416,BLESSED MARIA ASSUNTA PALLOTTA MIDDLE SCHOOL,3225 W 9TH ST,WATERLOO,IA,BLACK HAWK
A1501688,IOWA CHRISTIAN ACADEMY,2501 VINE ST,WEST DES MOINES,IA,POLK
A1501693,MY IMAN MONTESSORI & ACADEMY,2999 1ST AVE SW,CEDAR RAPIDS,IA,LINN
A1301423,QUAKERDALE PROMISE ACADEMY,26866 CO HIGHWAY S55,NEW PROVIDENCE,IA,HARDIN
A1301425,SPALDING CATHOLIC SCHOOL,521 BROAD ST.,GRANVILLE,IA,SIOUX
A1501696,TRINITY CHRISTIAN HIGH SCHOOL,1811 HAYES AVE,HULL,IA,SIOUX
BB161306,STONERIDGE CHRISTIAN SCHOOL,1266 TRENTON RD,ADRIAN,MI,LENAWEE
BB161308,LENAWEE CHRISTIAN SCHOOL,111 WOLF CREEK HWY,ADRIAN,MI,LENAWEE
A1301817,ACADIA MONTANA,55 BASIN CREEK RD,BUTTE,MT,SILVER BOW
A1301818,MOUNTAIN VIEW SCHOOL,41 AMISH LN,FORSYTH,MT,ROSEBUD
A1502253,ELK CREEK MENNONITE,586 1ST RD. S,FORT SHAW,MT,CASCADE
A1390235,FARMING FOR THE FUTURE ACADEMY,400 VETERANS DRIVE,COLUMBIA FALLS,MT,FLATHEAD
A1502260,WHITE CLAY IMMERSION SCHOOL,269 BLACKFEET AVE AGENCY,HARLEM,MT,BLAINE
A1101413,MISSION VALLEY CHRISTIAN SCHOOL,ALLISON RD.,SAINT IGNATIUS,MT,LAKE
A1301827,MISSION VALLEY CHRISTIANACADEMY,38907 MT HWY 35,POLSON,MT,LAKE
A1301830,MOUNTAIN VIEW ADVENTIST SCHOOL,1010 CLEMENTS RD,MISSOULA,MT,MISSOULA
A1301831,NKWUSM SALISH LANGUAGE SCHOOL,72040 BITTERROOT JIM RD,ARLEE,MT,LAKE
A1502264,SUMMIT ACADEMY,NO. 1 WEST END RD,LIVINGSTON,MT,PARK
A1502266,WEE DISCIPLES LUTHERAN SCHOOL AND CHILDCARE,1226 1ST AVE N,GREAT FALLS,MT,CASCADE
BB162004,MOST HOLY REDEEMER CATHOLIC,136-58 41ST AVENUE,FLUSHING,NY,QUEENS
BB162010,SOLOMON SCHECHTER SCHOOL OF QUEENS,76-16 PARSONS BLVD,FLUSHING,NY,QUEENS
BB162015,OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,72-55 AUSTIN ST.,FOREST HILLS,NY,QUEENS
BB162019,SCHOOLS SISTERS OF NOTRE DAME,5825 CATALPA AVE,RIDGEWOOD,NY,QUEENS
BB162021,ST ELIZABETH CATHOLIC ACADEMY,94-01 85 STREET,OZONE PARK,NY,QUEENS
BB162026,ST CHRISTOPHER-OTTILIE SCHOOL,8570 148TH ST,JAMAICA,NY,QUEENS
BB162042,THE ATLAS SCHOOL,252 W 29TH ST 3RD FL,NEW YORK,NY,NEW YORK
BB162043,THE LEARNING SPRING ACADEMY,247 E 20TH ST,NEW YORK,NY,NEW YORK
BB162050,LASALLE ACADEMY,215 E 6TH ST,NEW YORK,NY,NEW YORK
BB162057,NEW AMSTERDAM SCHOOL,62 AVENUE B,NEW YORK,NY,NEW YORK
BB162059,AVENUES THE WORLD SCHOOL,11 E 26TH ST # 17,NEW YORK,NY,NEW YORK
BB162187,SINAI ACADEMY,2025 79TH STREET,BROOKLYN,NY,KINGS
A1501950,ADA CHRISTIAN SCHOOL,6206 ADA DR SE,ADA,MI,KENT
A1301671,AIM HIGH SCHOOL,29230 W 12 MILE RD,FARMINGTN HLS,MI,OAKLAND
A1301673,AUSTIN CATHOLIC ACADEMY HIGH SCHOOL,24125 26 MILE RD,RAY TOWNSHIP,MI,MACOMB
A1501975,BRIGHTMONT ACADEMY - NORTHVILLE,15374 N HAGGERTY RD,PLYMOUTH,MI,WAYNE
A1370909,CHILDREN'S ACADEMY FOR LEARNING,1892 E AUBURN RD,ROCHESTER HILLS,MI,OAKLAND
A1370914,CHIQUITOS BILINGUAL MONTESSORI,48945 VAN DYKE AVE STE 10,SHELBY TOWNSHIP,MI,MACOMB
A1501985,CHRISTIAN FELLOWSHIP CENTER,950 N MICHIGAN RD,EATON RAPIDS,MI,EATON
A1370923,CREATIVE MONTESSORI CENTER,2901 MANNING ST STE 2,TRENTON,MI,WAYNE
A1370925,DEARBORN EARLY LEARNING CENTER,21350 OUTER DRIVE,DEARBORN,MI,WAYNE
BB162066,COOKE CENTER ACADEMY,60 MACDOUGAL ST,NEW YORK,NY,NEW YORK
BB162125,WASHINGTON HEIGHTS HELLENIC,124 WADSWORTH AVE,NEW YORK,NY,NEW YORK
BB162131,HORACE MANN SCHOOL,231 W 246TH ST,BRONX,NY,BRONX
