NAME,ADDRESS,CITY,STATE,COUNTY
LINCOLN-WAY CENTRAL HIGH SCHOOL,1801 E LINCOLN HWY,NEW LENOX,IL,WILL
FRANK A BRODNICKI ELEM SCHOOL,8641 W 75TH ST,JUSTICE,IL,COOK
BUTLER ELEM SCHOOL,1701 S MACARTHUR,SPRINGFIELD,IL,SANGAMON
DR ANDY HALL EARLY EDUC CTR,301 S 17TH ST,MT VERNON,IL,JEFFERSON
FREMONT INTERMEDIATE SCHOOL,28754 N FREMONT CNTR,MUNDELEIN,IL,LAKE
THOMPSONVILLE GRADE SCHOOL,21191 SHAWNEETOWN RD,THOMPSONVILLE,IL,FRANKLIN
WOODROW WILSON MIDDLE SCHOOL,1301 48TH ST,MOLINE,IL,ROCK ISLAND
PIPER SCHOOL,2435 KENILWORTH AVE,BERWYN,IL,COOK
WOODLAND INTERMEDIATE SCH,1115 N HUNT CLUB RD,GURNEE,IL,LAKE
KEMMERER VILLAGE SCHOOL,941 N 2500 EAST RD,ASSUMPTION,IL,CHRISTIAN
BARRINGTON MIDDLE SCH STATION,215 EASTERN AVE,BARRINGTON,IL,COOK
KOLMAR AVENUE ELEM SCHOOL,10425 S KOLMAR AVE,OAK LAWN,IL,COOK
LAREMONT SCHOOL,17934 W GAGES LAKE,GAGES LAKE,IL,LAKE
LINCOLN ELEM SCHOOL,1501 E 6TH ST,STERLING,IL,WHITESIDE
GREGORY MATH & SCI ELEM ACADEMY,3715 W POLK ST,CHICAGO,IL,COOK
NEIL ARMSTRONG PROGRAM/HAWTHORNE,2405 CHAMPAIGN AVE,MATTOON,IL,COLES
WESTGATE ELEM SCHOOL,500 S DWYER AVE,ARLINGTON HEIGHTS,IL,COOK
DOUGLAS ELEM SCHOOL,905 E MAIN ST,CLINTON,IL,DE WITT
INDIAN TRAIL JR HIGH SCHOOL,222 N JF KENNEDY DR,ADDISON,IL,DUPAGE
JANE ADDAMS ELEMENTARY SCHOOL,3520 53RD ST,MOLINE,IL,ROCK ISLAND
HIGHLAND ELEM SCHOOL,3935 HIGHLAND AVE,DOWNERS GROVE,IL,DUPAGE
HERITAGE ELEM SCHOOL,507 ARNOLD AVE,STREAMWOOD,IL,COOK
URBANA MIDDLE SCHOOL,1201 S VINE ST,URBANA,IL,CHAMPAIGN
WOODROW WILSON PRIMARY SCHOOL,1907 W FORREST HILL,PEORIA,IL,PEORIA
EASTLAND ELEMENTARY SCHOOL,601 S CHESTNUT ST,SHANNON,IL,CARROLL
PROJECT SOAR,120 E SPRING ST,DU QUOIN,IL,PERRY
EGYPTIAN SR HIGH SCHOOL,20023 DISWOOD RD,TAMMS,IL,ALEXANDER
SHIRLAND C C SCHOOL,PO BOX 99,SHIRLAND,IL,WINNEBAGO
NETTLE CREEK ELEM SCHOOL,8820 SCOTT SCHOOL RD,MORRIS,IL,GRUNDY
GRANT PARK HIGH SCHOOL,PO BOX 549,GRANT PARK,IL,KANKAKEE
ROXANA SR HIGH SCHOOL,401 CHAFFER AVE,ROXANA,IL,MADISON
WESTBROOK EARLY LEARNING CNTR,103 S BUSSE RD,MT PROSPECT,IL,COOK
ROCHELLE MIDDLE SCHOOL,111 SCHOOL AVE,ROCHELLE,IL,OGLE
CAROLINE SIBLEY ELEM SCHOOL,1550 SIBLEY BLVD,CALUMET CITY,IL,COOK
DENNIS EARLY CHILDHOOD CENTER,730 LINCOLN PARK BLD,ROCKFORD,IL,WINNEBAGO
LORDS PARK ELEM SCHOOL,323 WAVERLY DR,ELGIN,IL,COOK
NORTHWESTERN HIGH SCHOOL,30889 ROUTE 111,PALMYRA,IL,MACOUPIN
FIELD KINDERGARTEN CENTER,1101 S LOCUST ST,CENTRALIA,IL,MARION
LELAND HIGH SCHOOL,370 N MAIN ST,LELAND,IL,LASALLE
HIGHLAND PRIMARY SCHOOL,400 BROADWAY,HIGHLAND,IL,MADISON
BOOTH ELEMENTARY SCHOOL,PO BOX 39,ENFIELD,IL,WHITE
DAVIE ELEM SCHOOL,301 S GREEN ST,ANNA,IL,UNION
PERSHING ELEM HUMANITIES MAGNET,3200 S CALUMET AVE,CHICAGO,IL,COOK
CYPRESS ELEM SCHOOL,4580 MOUNT PISGAH RD,CYPRESS,IL,JOHNSON
NORTHPOINT ELEMENTARY SCHOOL,2602 E COLLEGE AVE,BLOOMINGTON,IL,MCLEAN
CISNE MIDDLE SCHOOL,PO BOX 69,CISNE,IL,WAYNE
DONALD C PARKER EARLY EDUC CENTER,808 HARLEM RD,MACHESNEY PARK,IL,WINNEBAGO
HOPE COLLEGE PREP HIGH SCHOOL,5515 S LOWE AVE,CHICAGO,IL,COOK
EDISON ELEM REGIONAL GIFTED CNTR,4929 N SAWYER AVE,CHICAGO,IL,COOK
DEER PATH MIDDLE SCH EAST,95 W DEERPATH,LAKE FOREST,IL,LAKE
SAUCEDO ELEM SCHOLASTIC ACADEMY,2850 W 24TH BLVD,CHICAGO,IL,COOK
SANDOVAL ELEM SCHOOL,300 E PERRY AVE,SANDOVAL,IL,MARION
HICKORY BEND ELEM SCHOOL,600 E 191ST PL,GLENWOOD,IL,COOK
ELIZABETH IDE ELEM SCHOOL,2000 MANNING RD,DARIEN,IL,DUPAGE
EBERHART ELEM SCHOOL,3400 W 65TH PL,CHICAGO,IL,COOK
WESTERN JR HIGH SCHOOL,PO BOX 189,KINDERHOOK,IL,PIKE
PIERCE DOWNER ELEM SCHOOL,1436 GRANT ST,DOWNERS GROVE,IL,DUPAGE
GRIGGSVILLE-PERRY PRIMARY SCHOOL,PO BOX 439,GRIGGSVILLE,IL,PIKE
KANELAND SENIOR HIGH SCHOOL,47W326 KESLINGER RD,MAPLE PARK,IL,KANE
PIONEER ELEMENTARY SCHOOL,1470 RAVEN DR,BOLINGBROOK,IL,WILL
THE JOSEPH SEARS SCHOOL,542 ABBOTSFORD RD,KENILWORTH,IL,COOK
EAST PRAIRIE ELEM SCHOOL,3907 DOBSON ST,SKOKIE,IL,COOK
EVERGREEN ACADEMY ELEM SCHOOL,3537 S PAULINA ST,CHICAGO,IL,COOK
GRIGSBY INTERMEDIATE SCH,3801 CARGILL RD,GRANITE CITY,IL,MADISON
ACADEMIC BEHAVIOR&COMMUNITY ACAD,1416 MAINE ST,QUINCY,IL,ADAMS
TONTI ELEM SCHOOL,5815 S HOMAN AVE,CHICAGO,IL,COOK
MERCER COUNTY HIGH SCHOOL,1500 S COLLEGE AVE,ALEDO,IL,MERCER
PROVISO THSD 209 DREAM SCHOOL,8601 ROOSEVELT RD,FOREST PARK,IL,COOK
CRAB ORCHARD HIGH SCHOOL,19189 BAILEY ST,MARION,IL,WILLIAMSON
NORTHWEST MIDDLE SCHOOL,5252 W PALMER ST,CHICAGO,IL,COOK
MACARTHUR MIDDLE SCHOOL,1310 N WOLF RD,BERKELEY,IL,COOK
SCOTT ELEMENTARY SCHOOL,500 WARWICK DR,NAPERVILLE,IL,DUPAGE
JESSE C WHITE LEARNING ACADEMY,16910 S WESTERN AVE,HAZEL CREST,IL,COOK
LINCOLN WAY WEST,21701 S GOUGAR RD,NEW LENOX,IL,WILL
NATURE RIDGE ELEM SCHOOL,1899 WESTRIDGE BLVD,BARTLETT,IL,COOK
WASHINGTON-MCKINLEY ELEM SCH,25 W 16TH PL,CHICAGO HEIGHTS,IL,COOK
HIGHLANDS ELEM SCHOOL,3420 LAUREL LN,HAZEL CREST,IL,COOK
CAHOKIA HIGH SCHOOL,800 RANGE LN,CAHOKIA,IL,ST. CLAIR
GREENFIELD HIGH SCHOOL,502 EAST ST,GREENFIELD,IL,GREENE
RICHMOND GRADE SCHOOL,5815 BROADWAY ST,RICHMOND,IL,MCHENRY
SMITHTON ELEM SCHOOL,PO BOX 395,SMITHTON,IL,ST. CLAIR
WHITMAN POST ELEM SCHOOL,1060 E UNION ST,ROCKTON,IL,WINNEBAGO
WOOD OAKS JR HIGH SCHOOL,1250 SANDERS RD,NORTHBROOK,IL,COOK
AVALON PARK ELEM SCHOOL,8045 S KENWOOD AVE,CHICAGO,IL,COOK
MELROSE PARK ELEM SCHOOL,1715 W LAKE ST,MELROSE PARK,IL,COOK
BURKE ELEM SCHOOL,5356 S KING DR,CHICAGO,IL,COOK
LOMBARD JR HIGH SCHOOL,1220 E KNOX ST,GALESBURG,IL,KNOX
SCALES MOUND JR HIGH SCHOOL,210 MAIN ST,SCALES MOUND,IL,JO DAVIESS
WALDEN ELEM SCHOOL,630 ESSEX CT,DEERFIELD,IL,LAKE
SHIPMAN ELEM SCHOOL,PO BOX 229,SHIPMAN,IL,MACOUPIN
BUTTERFIELD SCHOOL,1441 LAKE ST,LIBERTYVILLE,IL,LAKE
FARRAGUT ELEM SCHOOL,701 GLENWOOD AVE,JOLIET,IL,WILL
WINDSOR ELEM SCHOOL,935 WINDSOR RD,LOVES PARK,IL,WINNEBAGO
DRYDEN ELEM SCHOOL,722 S DRYDEN PL,ARLINGTON HEIGHTS,IL,COOK
GALATIA HIGH SCHOOL,200 N MCKINLEY ST,GALATIA,IL,SALINE
HANNAH BEARDSLEY MIDDLE SCHOOL,515 E CRYSTAL LAKE,CRYSTAL LAKE,IL,MCHENRY
JOLIET TWP HIGH SCH - ALTERNATE,110 COLLINS ST,JOLIET,IL,WILL
TAMPICO ELEM SCHOOL,PO BOX 637,TAMPICO,IL,WHITESIDE
EDISON PRIMARY SCHOOL,1991 E MAPLE ST,KANKAKEE,IL,KANKAKEE
LADD COMM CONS SCH,232 E CLEVELAND ST,LADD,IL,BUREAU
LINCOLN JR HIGH SCHOOL,1320 OLYMPUS DR,NAPERVILLE,IL,DUPAGE
COSTELLO SCHOOL,4632 CLYDE AVE,LYONS,IL,COOK
ANNE SULLIVAN ELEM SCHOOL,700 N SCHOENBECK RD,PROSPECT HEIGHTS,IL,COOK
BURR ELEM SCHOOL,1621 W WABANSIA AVE,CHICAGO,IL,COOK
MELODY ELEM SCHOOL,3937 W WILCOX ST,CHICAGO,IL,COOK
INTER-AMERICAN ELEM MAGNET SCHOOL,851 W WAVELAND AVE,CHICAGO,IL,COOK
RAVENSWOOD ELEM SCHOOL,4332 N PAULINA ST,CHICAGO,IL,COOK
SULLIVAN ELEM SCHOOL,8331 S MACKINAW AVE,CHICAGO,IL,COOK
EUGENE FIELD ELEM SCHOOL,707 WISNER ST,PARK RIDGE,IL,COOK
PRAIRIE ELEM SCHOOL,500 S CHARLES AVE,NAPERVILLE,IL,DUPAGE
HAMEL ELEMENTARY SCHOOL,PO BOX 157,HAMEL,IL,MADISON
HIGHLAND ELEM SCHOOL,190 N MELROSE AVE,ELGIN,IL,KANE
STEELE SCHOOL,1480 W MAIN ST,GALESBURG,IL,KNOX
WHITNEY ELEM SCHOOL,2815 S KOMENSKY AVE,CHICAGO,IL,COOK
MCHENRY MIDDLE SCHOOL,2120 W LINCOLN RD,MCHENRY,IL,MCHENRY
WOODS CREEK ELEMENTARY SCHOOL,1100 ALEXANDRA BLVD,CRYSTAL LAKE,IL,MCHENRY
CENTRAL ELEM SCHOOL,910 CENTRAL AVE,WILMETTE,IL,COOK
EFFINGHAM HIGH SCHOOL,1301 W GROVE AVE,EFFINGHAM,IL,EFFINGHAM
RIVERDAHL ELEM SCHOOL,3520 KISHWAUKEE ST,ROCKFORD,IL,WINNEBAGO
SHERLOCK ELEM SCHOOL,5347 W 22ND PL,CICERO,IL,COOK
COSSITT AVE ELEM SCHOOL,115 W COSSITT AVE,LA GRANGE,IL,COOK
PROVISO AREA EXCEPT CHILD CENTER,1000 VAN BUREN ST,MAYWOOD,IL,COOK
WATERLOO JUNIOR HIGH SCHOOL,200 BELLEFONTAINE DR,WATERLOO,IL,MONROE
KING MIDDLE GRADE SCHOOL,1440 E COURT ST,KANKAKEE,IL,KANKAKEE
FIELDCREST INTERMEDIATE SCHOOL,306 N MAPLE ST,TOLUCA,IL,MARSHALL
HAMPTON ELEM SCHOOL,206 5TH ST,HAMPTON,IL,ROCK ISLAND
LYONS TWP HIGH SCH,100 S BRAINARD AVE,LA GRANGE,IL,COOK
ANNAWAN GRADE SCHOOL,501 W SOUTH ST,ANNAWAN,IL,HENRY
DAVIS PRIMARY SCHOOL,1125 S 7TH ST,ST CHARLES,IL,KANE
WETHERSFIELD ELEM SCHOOL,439 WILLARD ST,KEWANEE,IL,HENRY
VALMEYER JR HIGH,300 S CEDAR BLUFF DR,VALMEYER,IL,MONROE
COWDEN-HERRICK JR/SR HIGH SCHOOL,633 CNTY HWY 22,COWDEN,IL,SHELBY
MAYO MIDDLE SCHOOL,300 E WOOD ST,PARIS,IL,EDGAR
NORTHLAKE MIDDLE SCHOOL,202 S LAKEWOOD AVE,NORTHLAKE,IL,COOK
WASHINGTON ELEM SCHOOL,15248 LINCOLN AVE,HARVEY,IL,COOK
MEDGAR EVERS PRIMARY ACADMC CNTR,1101 E 10TH ST,FORD HEIGHTS,IL,COOK
INDIAN CREEK HIGH SCHOOL,506 S SHABBONA RD,SHABBONA,IL,DEKALB
BENTON GRADE SCH K-4,1000 E MCKENZIE ST,BENTON,IL,FRANKLIN
LANPHIER HIGH SCHOOL,1300 N 11TH ST,SPRINGFIELD,IL,SANGAMON
PROPHETSTOWN ELEM SCHOOL,301 W 3RD ST,PROPHETSTOWN,IL,WHITESIDE
CONKLIN ELEM SCHOOL,3003 HALSTED RD,ROCKFORD,IL,WINNEBAGO
REG'L SAFE SCHOOL PROGRAM ROE #28,107 S STATE ST,ATKINSON,IL,HENRY
ELMWOOD ELEM SCHOOL,3025 EZRA AVE,ZION,IL,LAKE
RICHTON SQUARE SCHOOL,22700 RICHTON SQUARE,RICHTON PARK,IL,COOK
THE ACADEMY AT FOREST VIEW,2121 S GOEBBERT RD,ARLINGTON HEIGHTS,IL,COOK
LINCOLN SCHOOL TAOEP,960 ROYCE AVE,JOLIET,IL,WILL
SAINT CLAIR CO ROE SAFE SCHOOL,1722 W MAIN ST,BELLEVILLE,IL,ST. CLAIR
WASHINGTON ELEM SCHOOL,PO BOX 377,PANA,IL,CHRISTIAN
PARK VIEW ELEM SCHOOL,341 N ELIZABETH ST,LOMBARD,IL,DUPAGE
SENECA HIGH SCHOOL,PO BOX 20,SENECA,IL,LASALLE
NIPPERSINK MIDDLE SCHOOL,10006 N MAIN ST,RICHMOND,IL,MCHENRY
PEACE AND EDUCATION COALITION HS,4946 S PAULINA ST,CHICAGO,IL,COOK
KERSHAW ELEM SCHOOL,6450 S LOWE AVE,CHICAGO,IL,COOK
OAK GLEN ELEM SCHOOL,2101 182ND ST,LANSING,IL,COOK
TRICO ELEMENTARY SCHOOL,PO BOX 305,CAMPBELL HILL,IL,JACKSON
SAWYER ELEM SCHOOL,5248 S SAWYER AVE,CHICAGO,IL,COOK
CIVIC MEMORIAL HIGH SCHOOL,200 SCHOOL ST,BETHALTO,IL,MADISON
URBANA HIGH SCHOOL,1002 S RACE ST,URBANA,IL,CHAMPAIGN
JEFFERSON ELEM SCHOOL,700 E BOULEVARD ST,MARION,IL,WILLIAMSON
INDEPENDENCE PRESCHOOL,200 E TAYLOR AVE,BARTLETT,IL,COOK
FRANKLIN MIDDLE SCHOOL,817 N HARRIS AVE,CHAMPAIGN,IL,CHAMPAIGN
DELAND-WELDON MIDDLE SCHOOL,2311 N 300 EAST RD,WELDON,IL,PIATT
ROANOKE-BENSON HIGH SCHOOL,208 W HIGH ST,ROANOKE,IL,WOODFORD
CONGERVILLE ELEM SCHOOL,310 E KAUFFMAN ST,CONGERVILLE,IL,WOODFORD
METEA VALLEY HIGH SCHOOL,1801 N EOLA RD,AURORA,IL,DUPAGE
WINSTON CAMPUS JR HIGH,120 N BABCOCK DR,PALATINE,IL,COOK
DELAVAN ELEMENTARY SCHOOL,907 LOCUST ST,DELAVAN,IL,TAZEWELL
CHANNAHON JUNIOR HIGH SCHOOL,24917 W SIOUX DR,CHANNAHON,IL,WILL
GARDNER-SOUTH WILMINGTON TWP H S,500 E MAIN ST,GARDNER,IL,GRUNDY
OLNEY C ALLEN ELEM SCHOOL,700 S FARNSWORTH AVE,AURORA,IL,KANE
CENTRALIA JR HIGH SCHOOL,900 S PINE ST,CENTRALIA,IL,MARION
RANKIN ELEM SCHOOL,13716 5TH ST,PEKIN,IL,TAZEWELL
LIBERTY JUNIOR HIGH SCHOOL,151 LENOX ST,NEW LENOX,IL,WILL
HARLEM MIDDLE SCHOOL,735 WINDSOR RD,LOVES PARK,IL,WINNEBAGO
MEADOWDALE ELEM SCHOOL,14 ASH ST,CARPENTERSVILLE,IL,KANE
ANTIOCH UPPER GRADE SCHOOL,800 HIGHVIEW DR,ANTIOCH,IL,LAKE
PLEASANT LANE ELEM SCHOOL,401 N MAIN ST,LOMBARD,IL,DUPAGE
PERSPECTIVES CHARTER HIGH SCHOOL,1930 S ARCHER AVE,CHICAGO,IL,COOK
HOOVER MATH AND SCIENCE ACADEMY,315 N SPRINGINSGUTH,SCHAUMBURG,IL,COOK
GLEN FLORA ELEM SCHOOL,1110 CHESTNUT ST,WAUKEGAN,IL,LAKE
EDISON MIDDLE SCHOOL,306 W GREEN ST,CHAMPAIGN,IL,CHAMPAIGN
HAMILTON ELEM SCHOOL,700 32ND AVE,MOLINE,IL,ROCK ISLAND
SHEPHERD MIDDLE SCHOOL,701 E MCKINLEY RD,OTTAWA,IL,LASALLE
MT ZION INTERMEDIATE SCHOOL,310 S HENDERSON ST,MOUNT ZION,IL,MACON
MURRAYVILLE-WOODSON ELEM SCHOOL,PO BOX 170,MURRAYVILLE,IL,MORGAN
KANKAKEE HIGH SCHOOL,1200 W JEFFERY ST,KANKAKEE,IL,KANKAKEE
RIVER BEND MIDDLE SCHOOL,415 12TH ST,FULTON,IL,WHITESIDE
JEFFERSON ELEM SCHOOL,806 E LE FEVRE RD,STERLING,IL,WHITESIDE
WILEY ELEMENTARY SCHOOL,1602 S ANDERSON ST,URBANA,IL,CHAMPAIGN
EASTVIEW ELEMENTARY SCHOOL,1490 E MYRTLE ST,CANTON,IL,FULTON
SMITH ELEM SCHOOL,1332 ROBINWOOD DR,AURORA,IL,KANE
CENTENNIAL ELEM SCHOOL,614 OAKLEY AVE,STREATOR,IL,LASALLE
CARLINVILLE INTERMEDIATE SCHOOL,450 W BUCHANAN ST,CARLINVILLE,IL,MACOUPIN
GREELEY ALTERNATIVE SCHOOL,1800 NE PERRY AVE,PEORIA,IL,PEORIA
ROCHESTER HIGH SCHOOL,1 ROCKET DR,ROCHESTER,IL,SANGAMON
GORDON GREGORY MIDDLE SCHOOL,2621 SPRINGDALE CIR,NAPERVILLE,IL,WILL
MINOOKA JR HIGH SCHOOL,333 W MCEVILLY RD,MINOOKA,IL,GRUNDY
G N DIETERICH ELEM SCHOOL,1141 JACKSON ST,AURORA,IL,KANE
TREMONT HIGH SCHOOL,400 W PEARL ST,TREMONT,IL,TAZEWELL
COBDEN HIGH SCHOOL,413 N APPLEKNOCKER,COBDEN,IL,UNION
CAMBRIDGE JR/SR HIGH SCHOOL,300 S WEST ST,CAMBRIDGE,IL,HENRY
LINCOLN ELEM SCHOOL,811 CHICAGO AVE,MAYWOOD,IL,COOK
IL CENTER FOR REHAB & EDUC-R,1950 W ROOSEVELT RD,CHICAGO,IL,COOK
WALSH ELEM SCHOOL,5640 S 75TH AVE,SUMMIT,IL,COOK
RICHARD BYRD ELEMENTARY SCHOOL,8259 LAVERGNE AVE,BURBANK,IL,COOK
TILTON ELEM SCHOOL,223 N KEELER AVE,CHICAGO,IL,COOK
LAKE VIEW HIGH SCHOOL,4015 N ASHLAND AVE,CHICAGO,IL,COOK
PARK SCHOOL,828 MAIN ST,EVANSTON,IL,COOK
DR ML KING JR LITERARY&FINE ARTS,2424 LAKE ST,EVANSTON,IL,COOK
CLINTON ELEM SCHOOL,6110 N FAIRFIELD AVE,CHICAGO,IL,COOK
OLIVER W HOLMES MIDDLE SCHOOL,221 S WOLF RD,WHEELING,IL,COOK
DR DONALD WHARTON ELEM SCHOOL,7555 W 64TH ST,SUMMIT,IL,COOK
MEDINAH INTERMEDIATE SCHOOL,7N330 MEDINAH RD,MEDINAH,IL,DUPAGE
DOUGLAS ELEM SCHOOL,125 CARLYLE AVE,BELLEVILLE,IL,ST. CLAIR
UNITY JR HIGH SCHOOL,1121 COUNTY RD 800N,TOLONO,IL,CHAMPAIGN
LILY LAKE GRADE SCHOOL,5N720 IL ROUTE 47,MAPLE PARK,IL,KANE
WEST PRAIRIE HIGH SCHOOL,18575 E 800TH ST,SCIOTA,IL,MCDONOUGH
CHALLAND MIDDLE SCHOOL,1700 6TH AVE,STERLING,IL,WHITESIDE
BALMORAL ELEM SCH,1124 W NEW MONEE RD,CRETE,IL,WILL
ROXANA JUNIOR HIGH SCHOOL,401 CHAFFER AVE,ROXANA,IL,MADISON
WINSTON CAMPUS ELEMENTARY,900 E PALATINE RD,PALATINE,IL,COOK
BUTLER JUNIOR HIGH SCHOOL,2801 YORK RD,OAK BROOK,IL,DUPAGE
VIKING SCHOOL,4460 OLD GRAND AVE,GURNEE,IL,LAKE
PRAIRIE CENTRAL UPPER ELEMENTARY,PO BOX 496,FORREST,IL,LIVINGSTON
DR JULIAN ROGUS SCHOOL,20027 S 88TH AVE,FRANKFORT,IL,WILL
WASHINGTON ELEM SCHOOL,420 E MAIN ST,MARION,IL,WILLIAMSON
CAMPANELLI ELEM SCHOOL,310 S SPRINGINSGUTH,SCHAUMBURG,IL,COOK
CARROLLTON HIGH SCHOOL,950 3RD ST,CARROLLTON,IL,GREENE
LYNNE THIGPEN ELEM SCHOOL,207 S MIDLAND AVE,JOLIET,IL,WILL
FUNSTON ELEM SCHOOL,2010 N CENTRAL PARK,CHICAGO,IL,COOK
FREEDOM ELEM SCHOOL,11600 HERTAGE MEADOW,PLAINFIELD,IL,WILL
HOLDEN ELEM SCHOOL,1104 W 31ST ST,CHICAGO,IL,COOK
PALESTINE GRADE SCHOOL,205 S WASHINGTON ST,PALESTINE,IL,CRAWFORD
RIVER RIDGE ELEMENTARY SCHOOL,4141 IL ROUTE 84 S,HANOVER,IL,JO DAVIESS
CURIE METROPOLITAN HIGH SCHOOL,4959 S ARCHER AVE,CHICAGO,IL,COOK
PAEC ACADEMY,607 N HILLSIDE AVE,HILLSIDE,IL,COOK
HENRY-SENACHWINE GRADE SCHOOL,201 RICHARD ST,HENRY,IL,MARSHALL
ROGERS ELEM SCHOOL,200 ROGERS ST,WATERLOO,IL,MONROE
WILDER-WAITE GRADE SCHOOL,10021 N PACIFIC ST,PEORIA,IL,PEORIA
NIXON ELEM SCHOOL,2121 N KEELER AVE,CHICAGO,IL,COOK
VIRGINIA JR/ SR HIGH SCHOOL,651 S MORGAN ST,VIRGINIA,IL,CASS
JOHN A BANNES ELEM SCHOOL,16835 ODELL AVE,TINLEY PARK,IL,COOK
HORIZON SCIENCE ACAD-MCKINLEY PK,2245 W PERSHING RD,CHICAGO,IL,COOK
LITTLE FORT ELEM SCHOOL,1775 BLANCHARD RD,WAUKEGAN,IL,LAKE
LYLE SCHOOL,920 N BURR ST,KEWANEE,IL,HENRY
TRICO JR HIGH SCHOOL,PO BOX 335,CAMPBELL HILL,IL,JACKSON
HARDING GRADE SCHOOL,1643 N 40TH RD,EARLVILLE,IL,LASALLE
ONTARIOVILLE ELEM SCHOOL,2100 ELM AVE,HANOVER PARK,IL,COOK
BRADLEY WEST ELEM SCHOOL,200 W STATE ST,BRADLEY,IL,KANKAKEE
R O W V A JR AND SR HIGH SCHOOL,PO BOX 69,ONEIDA,IL,KNOX
HOLLIS CONSOLIDATED GRADE SCH,5613 W TUSCARORA RD,PEORIA,IL,PEORIA
A B SHEPARD HIGH SCH (CAMPUS),13049 S RIDGELAND,PALOS HEIGHTS,IL,COOK
GARY ELEM SCHOOL,3740 W 31ST ST,CHICAGO,IL,COOK
MOUNT ERIE ELEM SCHOOL,300 SCHOOL DR,MOUNT ERIE,IL,WAYNE
LIBBY ELEM SCHOOL,5300 S LOOMIS BLVD,CHICAGO,IL,COOK
ROE ADULT LEARNING CTR MACOUPIN,18400 SHIPMAN RD,CARLINVILLE,IL,MACOUPIN
MATHENY-WITHROW ELEM SCH,1200 S POPE AVE,SPRINGFIELD,IL,SANGAMON
WAVERLY ELEMENTARY SCHOOL,499 W ELM ST,WAVERLY,IL,MORGAN
BARNARD ELEM COMP MATH & SCI CTR,10354 S CHARLES ST,CHICAGO,IL,COOK
NATHAN HALE ELEM SCHOOL,19055 BURNHAM AVE,LANSING,IL,COOK
WEST CARROLL HIGH SCHOOL,500 CRAGMOOR ST,SAVANNA,IL,CARROLL
CENTRAL INTERMEDIATE SCHOOL,401 E 2ND AVE,MONMOUTH,IL,WARREN
BALDWIN INTERMEDIATE,3000 MAINE ST,QUINCY,IL,ADAMS
CENTRAL MIDDLE SCHOOL,9400 S SAWYER AVE,EVERGREEN PARK,IL,COOK
CROW ISLAND ELEM SCHOOL,1112 WILLOW RD,WINNETKA,IL,COOK
AGASSIZ ELEM SCHOOL,2851 N SEMINARY AVE,CHICAGO,IL,COOK
IL SCH FOR THE VISUALLY IMPAIRED,658 E STATE ST,JACKSONVILLE,IL,MORGAN
JULIETTE LOW ELEM SCHOOL,1530 S HIGHLAND AVE,ARLINGTON HEIGHTS,IL,COOK
DEVONSHIRE SCHOOL,1401 PENNSYLVANIA AV,DES PLAINES,IL,COOK
FRIENDSHIP JR HIGH SCHOOL,550 ELIZABETH LN,DES PLAINES,IL,COOK
DECATUR CLASSICAL ELEM SCHOOL,7030 N SACRAMENTO AV,CHICAGO,IL,COOK
HENRY ELEM SCHOOL,4250 N ST LOUIS AVE,CHICAGO,IL,COOK
CURTIS ELEM SCHOOL,32 E 115TH ST,CHICAGO,IL,COOK
GLENSIDE MIDDLE SCHOOL,1560 BLOOMINGDALE RD,GLENDALE HEIGHTS,IL,DUPAGE
MILL STREET ELEM SCHOOL,1300 N MILL ST,NAPERVILLE,IL,DUPAGE
WASHINGTON JR HIGH SCHOOL,201 N WASHINGTON ST,NAPERVILLE,IL,DUPAGE
LISLE HIGH SCHOOL,1800 SHORT ST,LISLE,IL,DUPAGE
SPAULDING ELEMENTARY SCHOOL,2000 BELLE PLAINE AV,GURNEE,IL,LAKE
FULTON JR HIGH SCHOOL,307 KYLE RD,O FALLON,IL,ST. CLAIR
EAST ST LOUIS-LINCOLN MIDDLE SCH,12 S 10TH ST,EAST ST LOUIS,IL,ST. CLAIR
GRAY ELEM SCHOOL,3730 N LARAMIE AVE,CHICAGO,IL,COOK
PROSSER CAREER ACADEMY HS,2148 N LONG AVE,CHICAGO,IL,COOK
PRITZKER ELEM SCHOOL,2009 W SCHILLER ST,CHICAGO,IL,COOK
KOLMAR ELEM SCHOOL,4500 143RD ST,MIDLOTHIAN,IL,COOK
WILSON ELEM SCHOOL,2400 WILSON AVE,GRANITE CITY,IL,MADISON
JOHNSBURG ELEMENTARY SCHOOL,2118 CHURCH ST,JOHNSBURG,IL,MCHENRY
TILDEN CAREER COMMUNTY ACADEMY HS,4747 S UNION AVE,CHICAGO,IL,COOK
AVISTON ELEM SCHOOL,350 S HULL ST,AVISTON,IL,CLINTON
MIDDLEFORK SCHOOL RSSP,15009 CATLIN TILTON,DANVILLE,IL,VERMILION
DEVRY ADVANTAGE ACADEMY HIGH SCHL,3300 N CAMPBELL AVE,CHICAGO,IL,COOK
ROOSEVELT ELEM SCHOOL,1927 S 15TH AVE,BROADVIEW,IL,COOK
TRI-COUNTY WARD,120 E SPRING ST,DU QUOIN,IL,PERRY
FAIRMOUNT ELEM SCHOOL,6036 BLODGETT AVE,DOWNERS GROVE,IL,DUPAGE
CANTERBURY ELEM SCHOOL,875 CANTERBURY DR,CRYSTAL LAKE,IL,MCHENRY
GLENN ELEM SCHOOL,306 GLENN AVE,NORMAL,IL,MCLEAN
